Acquired on 12/16/2025 at 17:12:12
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.704315
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  1.704315
Channel Width: 25.000 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (dB)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1.60664324E+003	1.86595537E+005	-5.05282059E+001	3.38275629E+003	1.03015740E+006	2.39110542E+001	1.51845896E+003	7.70172184E+002	-1.16095819E+005	2.21017744E-003	2.93933524E-003	1.38009661E-003	1.51009403E-003	-1.85132856E+000	-3.00317311E+000	2.23818715E+000	8.50880212E-001	1.69683155E+000	-8.76968139E+001	1.60759056E+003	-4.75355175E+001	-7.14465717E+001	3.13880943E+006	2.62152109E+001	1.92022041E+001
   1.60664462E+003	1.86595377E+005	-5.05613408E+001	4.79935376E+003	-5.06202565E+005	8.90147219E+000	1.28318284E+003	7.69151419E+002	-1.16308364E+005	1.02194380E-003	3.56784681E-003	1.11272201E-003	1.60092883E-003	-1.15267477E+000	-2.87597230E+000	2.92827337E+000	-2.11611526E+000	1.69836023E+000	-8.96008155E+001	1.60730002E+003	-4.80771389E+001	-5.69786111E+001	2.24507233E+006	2.62194972E+001	1.92002127E+001
   1.60664599E+003	1.86595217E+005	-4.63023587E+001	4.10325965E+003	-1.35023830E+006	1.13406484E+001	2.22872724E+003	7.68829164E+002	-1.16520401E+005	6.04366993E-003	1.95336809E-003	2.04761819E-003	1.52472508E-003	-1.94528573E+000	1.32230835E+000	-2.04415045E+000	-9.05414546E-001	1.69988890E+000	-9.18775073E+001	1.60792936E+003	-4.35998382E+001	-5.49404865E+001	3.28612244E+006	2.62240081E+001	1.91977206E+001
   1.60664737E+003	1.86595057E+005	-4.90324091E+001	2.24650387E+003	1.02624276E+006	2.51038681E+000	2.37737623E+003	7.70370106E+002	-1.16730766E+005	2.56649964E-003	2.08284470E-003	2.95380362E-003	2.31110263E-003	2.73266602E+000	-1.69760959E+000	1.57609994E+000	5.34984644E-001	1.70141758E+000	-8.82752221E+001	1.60807322E+003	-4.79561326E+001	-5.04665194E+001	3.84826058E+006	2.62283569E+001	1.91949992E+001
   1.60664874E+003	1.86594898E+005	-5.32289602E+001	3.65772545E+003	-9.07315028E+005	7.05733302E+000	2.58181902E+003	7.70494930E+002	-1.16942738E+005	2.13797210E-003	7.67612246E-004	1.46885247E-003	1.48030405E-003	-1.46885815E+000	-2.12709771E+000	-3.06703162E+000	-1.99394361E+000	1.70294626E+000	-9.02215641E+001	1.60794148E+003	-5.09992734E+001	-5.80566064E+001	2.86236133E+006	2.62324295E+001	1.91928447E+001
   1.60665012E+003	1.86594738E+005	-4.70189538E+001	2.41004333E+003	-7.22355504E+005	8.33610392E+000	3.08857302E+003	7.71871766E+002	-1.17153650E+005	5.28734181E-003	2.03123856E-003	1.41020733E-003	2.37925829E-003	-2.76901658E+000	5.47064757E-001	6.73938961E-001	-5.88154284E-001	1.70447493E+000	-9.67320502E+001	1.60772843E+003	-4.46031002E+001	-5.29392041E+001	4.10795577E+006	2.62381980E+001	1.91907159E+001
   1.60665149E+003	1.86594578E+005	-5.39810983E+001	1.41670413E+003	2.61419805E+006	1.39443920E+001	1.98091912E+003	7.74245387E+002	-1.17363756E+005	1.48556545E-003	1.22054064E-003	1.66501538E-003	1.23611163E-003	-2.32606663E+000	-2.32914228E+000	1.28260430E+000	4.64577394E-001	1.70600361E+000	-8.81193448E+001	1.60824745E+003	-5.11424835E+001	-6.50868755E+001	3.62374666E+006	2.62446866E+001	1.91887752E+001
   1.60665287E+003	1.86594419E+005	-4.85120626E+001	5.01159590E+003	-6.75810860E+005	1.53366671E+001	1.95756830E+003	7.73011644E+002	-1.17577661E+005	2.01078365E-003	1.53284831E-003	3.22721548E-003	3.37114199E-003	-1.17498849E+000	-2.42857847E+000	-2.29342948E+000	-2.78453719E+000	1.70753229E+000	-8.76307558E+001	1.60820973E+003	-4.56270303E+001	-6.09636975E+001	3.03836665E+006	2.62558738E+001	1.91873738E+001
   1.60665424E+003	1.86594259E+005	-5.67002289E+001	4.08225886E+003	2.04328945E+005	8.59732409E+000	2.24215786E+003	7.72710462E+002	-1.17790824E+005	5.50184413E-004	1.02072143E-003	1.57916620E-003	6.61330314E-004	-1.65316043E+000	-1.47581418E+000	1.28016484E+000	6.15501384E-001	1.70906096E+000	-8.73539534E+001	1.60767208E+003	-5.42518229E+001	-6.28491470E+001	7.24406442E+005	2.62667339E+001	1.91854821E+001
   1.60665562E+003	1.86594099E+005	-5.13381934E+001	4.36324100E+003	-2.13479305E+005	1.33847417E+001	2.17779195E+003	7.72127323E+002	-1.18004461E+005	2.66768830E-003	1.32700327E-003	2.05416846E-003	1.26462765E-003	-9.65076469E-001	-1.99598544E+000	7.41664770E-001	-1.30100457E+000	1.71058964E+000	-9.02508168E+001	1.60757394E+003	-4.85226692E+001	-6.19074109E+001	1.65690943E+006	2.62770805E+001	1.91836546E+001
   1.60665699E+003	1.86593939E+005	-5.28977613E+001	4.06967528E+003	4.26240640E+005	1.44307816E+001	1.28561313E+003	7.71838768E+002	-1.18217994E+005	2.84237524E-003	1.33004224E-003	5.24798372E-005	6.41601772E-004	-1.89365997E+000	-2.44040204E+000	1.83806097E+000	-1.22624561E+000	1.71211832E+000	-9.38722240E+001	1.60811370E+003	-5.00412743E+001	-6.44720559E+001	1.42466719E+006	2.62878155E+001	1.91824260E+001
   1.60665837E+003	1.86593780E+005	-5.09547616E+001	4.65582041E+003	-6.61345205E+005	1.90998593E+000	2.76898662E+003	7.70962035E+002	-1.18432307E+005	1.91348920E-003	1.93250070E-003	2.27252264E-003	1.86883748E-003	2.94411432E+000	-1.56852630E+000	1.40460685E+000	3.99252278E-001	1.71364700E+000	-8.91377670E+001	1.60780092E+003	-5.01039324E+001	-5.20139183E+001	3.55203919E+006	2.62979123E+001	1.91808478E+001
   1.60665974E+003	1.86593620E+005	-4.91891343E+001	3.74636951E+003	-3.52921336E+005	7.80434433E+000	3.00411413E+003	7.70997908E+002	-1.18645899E+005	3.58388212E-003	1.32265027E-003	1.50019152E-003	2.69468629E-003	-1.56233561E+000	-1.80721999E+000	-3.48350431E-001	-1.40708660E+000	1.71517567E+000	-8.89383043E+001	1.60776222E+003	-4.68450479E+001	-5.46493922E+001	1.26636912E+006	2.63097168E+001	1.91793596E+001
   1.60666112E+003	1.86593460E+005	-4.67103696E+001	3.26104781E+003	-3.05430818E+005	1.77430274E+001	2.05495077E+003	7.71520786E+002	-1.18859194E+005	5.83697219E-003	3.04002512E-004	2.80521794E-003	7.90796023E-004	-9.05365096E-001	1.98707747E+000	-2.22599367E+000	-2.19249185E+000	1.71670435E+000	-8.98907829E+001	1.60797032E+003	-4.37724891E+001	-6.15155166E+001	1.32209983E+006	2.63207671E+001	1.91787812E+001
   1.60666250E+003	1.86593301E+005	-5.23157679E+001	2.84103223E+003	1.33697167E+006	1.35227708E+001	1.59622240E+003	7.72465137E+002	-1.19072260E+005	3.10846683E-003	8.86956458E-004	1.02476579E-003	4.84550906E-004	-1.47334608E+000	-2.72052781E+000	2.97527559E+000	-1.82090907E+000	1.71823303E+000	-8.96719333E+001	1.60821140E+003	-4.94942812E+001	-6.30170520E+001	2.74560930E+006	2.63311624E+001	1.91778400E+001
   1.60666387E+003	1.86593141E+005	-4.99692046E+001	4.67958240E+003	-1.71617094E+006	1.05185002E+001	2.14082506E+003	7.71564560E+002	-1.19287361E+005	2.74951550E-003	5.84245022E-004	2.96605927E-003	1.85570384E-003	-1.53147310E+000	-7.46672141E-001	-4.29449707E-001	-1.29121903E+000	1.71976170E+000	-9.22333068E+001	1.60953294E+003	-4.73281713E+001	-5.78466716E+001	2.20188146E+006	2.63426485E+001	1.91767469E+001
   1.60666525E+003	1.86592981E+005	-5.45243079E+001	2.31956846E+003	3.59702066E+005	1.38231665E+001	1.60515823E+003	7.73032184E+002	-1.19500286E+005	2.04547482E-003	1.28748608E-003	1.07923212E-003	2.24344778E-004	2.12410401E+000	-2.17186271E+000	1.83897931E+000	2.44281929E+000	1.72129038E+000	-9.43007205E+001	1.60818937E+003	-5.16904554E+001	-6.55136219E+001	1.86745911E+006	2.63532458E+001	1.91759055E+001
   1.60666662E+003	1.86592822E+005	-5.07158443E+001	2.81421811E+003	9.27599663E+005	3.85426128E+000	2.88330975E+003	7.74003442E+002	-1.19713898E+005	2.91222285E-003	1.86407001E-003	1.05215970E-003	1.97431785E-003	-1.58641129E+000	-2.50496044E+000	2.46539825E+000	-1.54168917E+000	1.72281906E+000	-8.99927632E+001	1.60801439E+003	-4.92029481E+001	-5.30572094E+001	3.25563223E+006	2.63655215E+001	1.91747791E+001
   1.60666800E+003	1.86592662E+005	-5.04302673E+001	4.08982276E+003	-1.15461677E+006	1.73352818E+001	1.18878734E+003	7.73694670E+002	-1.19928982E+005	4.08274592E-003	5.36460611E-004	8.24620289E-004	6.90604341E-004	-1.21661245E+000	-1.61618022E+000	-1.98988046E+000	-1.99531905E+000	1.72434774E+000	-9.12945195E+001	1.60811110E+003	-4.74994506E+001	-6.48347324E+001	1.87384146E+006	2.63778526E+001	1.91737090E+001
   1.60666937E+003	1.86592502E+005	-6.14246744E+001	2.50202891E+003	9.35527794E+005	1.26607516E+001	2.65353476E+003	7.74979201E+002	-1.20142663E+005	8.89712379E-004	5.82165285E-004	3.37556257E-004	4.42961353E-004	-2.18088896E+000	6.74466190E-001	-2.36951996E+000	-4.43117503E-001	1.72587641E+000	-8.81775104E+001	1.60797936E+003	-5.86435662E+001	-7.13043178E+001	3.05476497E+006	2.63901769E+001	1.91729011E+001
   1.60667075E+003	1.86592342E+005	-4.90595824E+001	3.78854047E+003	1.07142103E+005	8.95829158E+000	3.19178750E+002	7.74972757E+002	-1.20357827E+005	2.66812129E-003	1.72846401E-003	2.09501382E-003	3.21557030E-003	-2.10279801E+000	1.98102854E+000	-4.31649290E-001	-1.47441444E+000	1.72740509E+000	-8.92824233E+001	1.60858248E+003	-4.65689354E+001	-5.55272270E+001	2.37776036E+006	2.64024935E+001	1.91724240E+001
   1.60667212E+003	1.86592183E+005	-5.62534865E+001	3.93587953E+003	-9.78818789E+005	1.25472957E+001	2.22884030E+002	7.74818462E+002	-1.20573330E+005	1.82612297E-003	1.83884550E-004	9.96447854E-004	6.14405870E-004	-1.44092772E+000	-1.46208653E-001	-1.69660165E+000	-1.54270286E+000	1.72893377E+000	-9.17609148E+001	1.60930229E+003	-5.34782834E+001	-6.60255791E+001	4.70379592E+005	2.64142944E+001	1.91724049E+001
   1.60667350E+003	1.86592023E+005	-5.40197052E+001	2.58983080E+003	1.03126646E+005	1.08202181E+001	2.33673133E+003	7.76014886E+002	-1.20787673E+005	2.19923730E-003	1.33722134E-003	5.04398454E-004	1.02316920E-003	2.99843094E+000	-7.34972159E-001	2.36642981E+000	-1.60689785E-001	1.73046244E+000	-9.13492147E+001	1.60869124E+003	-5.13548479E+001	-6.21750659E+001	3.39532439E+006	2.64260623E+001	1.91718784E+001
   1.60667487E+003	1.86591863E+005	-4.80498689E+001	2.73164840E+003	3.45640937E+005	5.29630638E+000	1.57727852E+003	7.77069001E+002	-1.21002350E+005	3.67481808E-003	1.83607156E-003	2.31040309E-003	3.02035731E-003	-2.59261003E+000	5.82916398E-001	3.36231411E-001	-8.57741317E-001	1.73199112E+000	-9.00679631E+001	1.60859458E+003	-4.61635141E+001	-5.14598205E+001	3.84233350E+006	2.64375421E+001	1.91701050E+001
   1.60667625E+003	1.86591704E+005	-5.13397250E+001	3.20696737E+003	7.52082684E+004	1.40267405E+001	1.65946652E+003	7.77646147E+002	-1.21217696E+005	3.37439566E-003	9.40284704E-004	1.12488881E-003	1.07477966E-003	-1.83422610E+000	1.90750449E+000	2.03656804E+000	-1.09608199E+000	1.73351980E+000	-8.87951692E+001	1.60813837E+003	-4.84979472E+001	-6.25246876E+001	2.03305821E+006	2.64490473E+001	1.91689634E+001
   1.60667762E+003	1.86591544E+005	-4.95416901E+001	3.31039255E+003	-5.94620764E+005	1.61702505E+001	1.76416517E+003	7.78119510E+002	-1.21433336E+005	4.16086396E-003	2.35481043E-004	2.09070848E-003	6.97625265E-004	-9.50467563E-001	1.49151033E+000	-1.21190679E+000	-2.23794942E+000	1.73504847E+000	-8.69950894E+001	1.60805522E+003	-4.66350395E+001	-6.28052901E+001	2.64031494E+006	2.64615325E+001	1.91669839E+001
   1.60667900E+003	1.86591384E+005	-5.32227520E+001	2.49267837E+003	-5.03604810E+004	4.87557960E+000	1.91070945E+003	7.79413423E+002	-1.21648347E+005	1.79094200E-003	9.49067633E-004	9.57099093E-004	2.12092961E-003	-1.80741958E-002	2.20697477E+000	-1.07958090E+000	2.94193914E+000	1.73657715E+000	-8.76853131E+001	1.60820288E+003	-5.14359818E+001	-5.63115614E+001	1.96096693E+006	2.64726663E+001	1.91652264E+001
   1.60668037E+003	1.86591224E+005	-6.25003118E+001	2.42342322E+003	7.15306503E+005	7.71961769E+000	2.26500922E+003	7.80776832E+002	-1.21863479E+005	1.89027275E-004	4.77741962E-004	6.55816360E-004	6.56154025E-004	-1.72593778E+000	1.36683691E+000	-1.10227435E+000	-2.13718548E+000	1.73810583E+000	-8.52831150E+001	1.60792954E+003	-6.01683761E+001	-6.78879938E+001	1.85224023E+006	2.64823241E+001	1.91635439E+001
   1.60668175E+003	1.86591065E+005	-4.81561172E+001	3.40710611E+003	-2.39705514E+006	5.29808028E+000	6.82087643E+002	7.81153146E+002	-1.22079790E+005	3.32694655E-003	1.34139959E-003	3.25205771E-003	2.67111249E-003	-1.39951677E+000	5.93197393E-001	-9.56469506E-001	-1.56675112E+000	1.73963451E+000	-8.77878393E+001	1.61020470E+003	-4.62693580E+001	-5.15674383E+001	2.19814653E+006	2.64920619E+001	1.91617832E+001
   1.60668312E+003	1.86590905E+005	-5.50850016E+001	1.10692395E+002	-7.28773417E+004	1.41340157E+001	2.82248021E+003	7.84837310E+002	-1.22292985E+005	1.43929424E-003	5.55419054E-004	1.87717503E-003	5.46011179E-004	-2.05423088E+000	-2.46302809E+000	-3.10429473E+000	-2.14393423E+000	1.74116318E+000	-9.26001867E+001	1.60844347E+003	-5.22391889E+001	-6.63732047E+001	3.67920270E+006	2.65019237E+001	1.91606969E+001
   1.60668450E+003	1.86590745E+005	-5.89105028E+001	1.04718048E+001	2.41269468E+006	4.02060337E+000	3.09861485E+003	7.88622042E+002	-1.22506270E+005	9.49705271E-004	8.19604881E-004	8.48909194E-004	5.25296727E-004	-1.47766223E+000	1.16999788E+000	-9.62719039E-001	-1.95504539E+000	1.74269186E+000	-8.78294296E+001	1.60807882E+003	-5.73497507E+001	-6.13703540E+001	1.00803436E+006	2.65123760E+001	1.91601886E+001
   1.60668587E+003	1.86590586E+005	-5.59313415E+001	3.32840427E+003	-2.02131363E+005	1.00926725E+001	5.18448560E+002	7.89077330E+002	-1.22723076E+005	1.25502406E-003	1.05520155E-003	1.39324014E-003	6.88601520E-004	1.34911813E+000	-2.24488181E+000	2.84473750E+000	5.04269124E-001	1.74422054E+000	-8.76830074E+001	1.60730205E+003	-5.33266249E+001	-6.34192973E+001	2.60390926E+006	2.65228451E+001	1.91597854E+001
   1.60668725E+003	1.86590426E+005	-4.98911859E+001	3.05043319E+003	5.48918578E+005	1.43859180E+001	2.50873285E+003	7.89811554E+002	-1.22939794E+005	3.52970527E-003	2.07697721E-003	1.46095283E-003	1.26506964E-003	3.12422512E+000	-1.08647389E+000	2.50265230E+000	-7.18773846E-001	1.74574921E+000	-9.16856305E+001	1.60718947E+003	-4.70362678E+001	-6.14221858E+001	3.15001512E+006	2.65319036E+001	1.91598711E+001
   1.60668862E+003	1.86590266E+005	-4.83078200E+001	3.80530740E+003	6.70452472E+004	1.15240019E+001	1.03112758E+003	7.89788284E+002	-1.23157461E+005	4.23892273E-003	2.84151574E-003	6.98378534E-004	1.73162911E-003	-2.98501989E+000	-4.82114106E-001	1.92733572E+000	-4.28121579E-001	1.74727789E+000	-9.00337690E+001	1.60787758E+003	-4.55929989E+001	-5.71170008E+001	2.22671769E+006	2.65407028E+001	1.91599949E+001
   1.60669000E+003	1.86590107E+005	-5.94065601E+001	3.89750836E+003	-4.84202171E+005	9.80687938E+000	1.85137113E+003	7.89672494E+002	-1.23375411E+005	7.85379216E-004	6.04617749E-004	1.00021338E-003	5.56804547E-004	2.16863126E+000	-1.34210346E+000	2.03426091E+000	-1.08333707E-001	1.74880657E+000	-8.86877976E+001	1.60792303E+003	-5.68281026E+001	-6.66349820E+001	1.36234183E+006	2.65514877E+001	1.91600140E+001
   1.60669137E+003	1.86589947E+005	-5.18283020E+001	3.23163002E+003	-3.22914548E+005	4.70005858E+000	1.86197262E+003	7.90224892E+002	-1.23592885E+005	1.91656003E-003	1.13246760E-003	2.27446204E-003	1.73181244E-003	-1.91352117E+000	-2.00991572E+000	1.72241022E+000	-1.00620247E+000	1.75033525E+000	-8.95554261E+001	1.60772657E+003	-5.00852875E+001	-5.47853461E+001	2.49275283E+006	2.65622370E+001	1.91600340E+001
   1.60669275E+003	1.86589787E+005	-4.71515257E+001	2.78755484E+003	-3.59862893E+005	1.91683479E+001	2.30407014E+003	7.91222907E+002	-1.23810104E+005	5.64382031E-003	2.41410699E-003	4.91386238E-004	7.84141082E-004	-1.50216683E+000	4.01922439E-001	-2.03519973E+000	-1.36860266E+000	1.75186392E+000	-8.92861306E+001	1.60814264E+003	-4.41935054E+001	-6.33618533E+001	1.11249410E+006	2.65726324E+001	1.91599421E+001
   1.60669412E+003	1.86589627E+005	-5.26407877E+001	2.29266709E+003	7.98985008E+005	5.85687844E+000	8.69161433E+002	7.92717525E+002	-1.24027018E+005	1.97716113E-003	7.95550776E-004	2.02673560E-003	1.49611285E-003	-1.20178869E+000	1.05842665E+000	-1.42731819E+000	-1.74197087E+000	1.75339260E+000	-8.84651209E+001	1.60834729E+003	-5.06328297E+001	-5.64897081E+001	1.66392070E+006	2.65839125E+001	1.91599866E+001
   1.60669550E+003	1.86589468E+005	-5.39970332E+001	3.39144270E+003	-2.88895182E+005	7.37826884E+000	8.69261705E+002	7.93109557E+002	-1.24245226E+005	2.38692043E-003	9.29339169E-004	2.06337404E-004	1.16788227E-003	-1.51326483E+000	2.06934806E+000	-3.10513684E+000	-1.56911700E+000	1.75492128E+000	-8.71783828E+001	1.60805838E+003	-5.17161508E+001	-5.90944196E+001	1.23990985E+006	2.65950255E+001	1.91598447E+001
   1.60669687E+003	1.86589308E+005	-5.06689289E+001	2.99414923E+003	4.69048517E+005	1.36202525E+001	3.02014158E+003	7.93900259E+002	-1.24463226E+005	3.58235326E-003	1.59642202E-003	6.38931831E-004	1.16401578E-003	-2.95414128E+000	2.77479847E+000	1.21559369E+000	-2.82722660E-003	1.75644995E+000	-8.99955879E+001	1.60827535E+003	-4.78433391E+001	-6.14635917E+001	4.17055477E+006	2.66051316E+001	1.91602486E+001
   1.60669825E+003	1.86589148E+005	-5.12357457E+001	3.63919367E+003	-4.59144970E+004	1.37299618E+001	2.89102896E+003	7.94043680E+002	-1.24682065E+005	3.36219996E-003	8.30806525E-004	1.43551230E-003	9.95925270E-004	-1.76379785E+000	3.00828438E+000	-1.30135644E+000	-1.73843594E+000	1.75797863E+000	-8.84103191E+001	1.60766310E+003	-4.84056426E+001	-6.21356044E+001	1.74045407E+006	2.66153142E+001	1.91616288E+001
   1.60669963E+003	1.86588989E+005	-4.77694647E+001	3.57605107E+003	-6.67005514E+005	7.79734478E+000	1.30693252E+003	7.94250462E+002	-1.24901032E+005	3.66740097E-003	2.22473714E-003	3.51116290E-003	1.64267523E-003	-1.90569742E+000	1.35769735E+000	-8.69539710E-001	-1.88959020E+000	1.75950731E+000	-8.79616594E+001	1.60817328E+003	-4.54263744E+001	-5.32237192E+001	1.88552052E+006	2.66245221E+001	1.91637715E+001
   1.60670100E+003	1.86588829E+005	-5.07388825E+001	2.65876927E+003	3.48086744E+005	8.13271140E+000	2.50787019E+003	7.95377709E+002	-1.25119270E+005	3.23926947E-003	1.24445345E-003	7.64372868E-004	2.06039769E-003	-7.89983005E-001	-2.61192737E+000	-3.70195054E-001	-2.32897571E+000	1.76103599E+000	-8.89808481E+001	1.60845385E+003	-4.83495848E+001	-5.64822962E+001	3.92017355E+006	2.66331333E+001	1.91642678E+001
   1.60670238E+003	1.86588669E+005	-4.92649064E+001	3.13746724E+003	-1.19701983E+005	1.58849557E+001	1.65675366E+003	7.96024597E+002	-1.25338179E+005	4.35728728E-003	1.79131339E-003	1.11656707E-003	4.97111177E-004	-3.21078637E-001	2.40251785E+000	-1.90872874E+000	3.00968037E+000	1.76256466E+000	-8.72000734E+001	1.60816644E+003	-4.63652044E+001	-6.22501602E+001	2.42716450E+006	2.66406507E+001	1.91655293E+001
   1.60670375E+003	1.86588509E+005	-4.66467827E+001	2.97284967E+003	8.60582528E+005	1.48319586E+001	2.91023181E+003	7.96836673E+002	-1.25557114E+005	4.69224348E-003	4.21906364E-003	9.18255515E-004	1.62036577E-003	-1.59944301E+000	6.83881809E-001	-1.99822479E+000	-1.02674770E+000	1.76409334E+000	-8.75146962E+001	1.60779119E+003	-4.37769408E+001	-5.86088994E+001	3.36709086E+006	2.66466562E+001	1.91675251E+001
   1.60670513E+003	1.86588350E+005	-5.24272442E+001	4.15634925E+003	-1.16845961E+005	1.10869865E+001	2.74645241E+002	7.96461144E+002	-1.25777428E+005	1.46396873E-003	2.23172014E-003	3.94481711E-004	2.03897830E-003	-1.65638552E+000	1.14556733E+000	3.03968109E-001	-1.78232596E+000	1.76562202E+000	-8.74519986E+001	1.60795921E+003	-4.97425584E+001	-6.08295449E+001	2.64334073E+006	2.66511824E+001	1.91694162E+001
   1.60670650E+003	1.86588190E+005	-5.52668680E+001	3.99565881E+003	-1.01175696E+006	1.03037564E+001	4.93864985E+002	7.96246862E+002	-1.25997772E+005	1.42502291E-003	4.44206452E-004	1.43658971E-003	1.28678671E-003	-1.19460179E+000	-9.91115796E-001	-6.71990891E-001	-1.59312545E+000	1.76715069E+000	-8.93625027E+001	1.60836263E+003	-5.26437421E+001	-6.29474985E+001	8.74555857E+005	2.66555789E+001	1.91713439E+001
   1.60670788E+003	1.86588030E+005	-5.49241824E+001	2.60425473E+003	-8.60050312E+004	1.07241617E+001	1.40530955E+003	7.97428813E+002	-1.26216911E+005	1.26613832E-003	1.85134318E-003	2.29370767E-004	1.16307687E-003	-3.11479552E+000	-1.97125376E+000	1.14347068E+000	1.87190379E-001	1.76867937E+000	-9.12331429E+001	1.60844991E+003	-5.22667450E+001	-6.29909067E+001	2.66983674E+006	2.66584602E+001	1.91753271E+001
   1.60670925E+003	1.86587871E+005	-5.09070894E+001	2.48597736E+003	-1.17217640E+005	4.64263750E+000	1.26256392E+003	7.98729451E+002	-1.26436123E+005	3.02072601E-003	1.11688627E-003	1.33798147E-003	2.01684898E-003	-2.80971354E+000	1.08778209E-001	6.58151623E-001	-5.02923314E-001	1.77020805E+000	-8.84984264E+001	1.60766893E+003	-4.91786792E+001	-5.38213167E+001	1.41868693E+006	2.66636621E+001	1.91780874E+001
   1.60671063E+003	1.86587711E+005	-4.62155918E+001	2.32477495E+003	-6.67459285E+005	1.72972864E+001	2.51995991E+003	8.00191850E+002	-1.26655364E+005	5.86446376E-003	2.62672500E-003	2.47193461E-003	6.34542109E-004	-1.05135015E+000	2.16177390E+000	-1.57662931E+000	2.89231507E+000	1.77173672E+000	-8.75649317E+001	1.60784514E+003	-4.32854672E+001	-6.05827536E+001	3.82410589E+006	2.66685478E+001	1.91819596E+001
   1.60671200E+003	1.86587551E+005	-5.22576192E+001	1.40685654E+003	2.60107918E+005	6.54788493E+000	4.46508988E+002	8.02575353E+002	-1.26873876E+005	2.05069188E-003	1.93100716E-003	4.63876157E-004	1.93469738E-003	-9.99149991E-001	2.45719821E+000	3.08431131E+000	-1.98932976E+000	1.77326540E+000	-8.88578064E+001	1.60798271E+003	-5.01159598E+001	-5.66638447E+001	2.20767793E+006	2.66757403E+001	1.91850539E+001
   1.60671338E+003	1.86587391E+005	-5.55964903E+001	1.76456863E+003	2.80576490E+006	8.90845469E+000	2.76197409E+003	8.04599903E+002	-1.27092937E+005	9.20862762E-004	7.06964258E-004	5.05986653E-004	1.97714482E-003	-2.94513986E+000	-8.32959287E-001	2.49878731E+000	-3.93308369E-001	1.77479408E+000	-8.79440195E+001	1.60791983E+003	-5.31114923E+001	-6.20199470E+001	2.66087468E+006	2.66831843E+001	1.91881137E+001
   1.60671475E+003	1.86587232E+005	-5.50092256E+001	5.62318912E+003	-1.19577189E+006	7.06763359E+000	1.54499618E+003	8.02752444E+002	-1.27316062E+005	1.01568570E-003	7.07903395E-004	1.98173882E-003	9.22551377E-004	-2.92465695E+000	-2.45347263E+000	2.48692098E+000	-2.67025110E-001	1.77632276E+000	-8.70759353E+001	1.60765204E+003	-5.27778460E+001	-5.98454795E+001	2.35396923E+006	2.66899840E+001	1.91932756E+001
   1.60671613E+003	1.86587072E+005	-5.34434850E+001	3.97870429E+003	5.59150212E+004	1.33983182E+001	2.49145837E+003	8.02555176E+002	-1.27537728E+005	1.24875895E-003	1.40151686E-003	6.87635635E-004	2.24815363E-003	-8.72596887E-001	2.13303249E+000	8.59039453E-001	-2.32015494E+000	1.77785143E+000	-8.47891500E+001	1.60763757E+003	-5.06273663E+001	-6.40256845E+001	2.94449310E+006	2.66962091E+001	1.91994494E+001
   1.60671750E+003	1.86586912E+005	-5.40185493E+001	4.05560153E+003	-1.22406440E+006	7.66112710E+000	3.40642672E+002	8.02280744E+002	-1.27759662E+005	1.98441269E-003	4.42076868E-004	1.13167480E-003	1.58562135E-003	-1.65600549E+000	-1.06902058E+000	-1.19920436E+000	-1.36341313E+000	1.77938011E+000	-8.43299069E+001	1.60761639E+003	-5.16951208E+001	-5.93562479E+001	2.17023788E+006	2.67271271E+001	1.92083218E+001
   1.60671888E+003	1.86586753E+005	-5.57399756E+001	2.37220168E+003	7.33886198E+005	2.82537840E+000	1.83392552E+003	8.03695553E+002	-1.27980098E+005	4.97499741E-004	1.27709614E-003	1.64906117E-003	8.57825138E-004	-1.40386308E+000	4.42589014E-001	-4.55424793E-001	-1.67434700E+000	1.78090879E+000	-9.02972419E+001	1.60788462E+003	-5.45531078E+001	-5.73784862E+001	2.74569509E+006	2.67847505E+001	1.92150081E+001
   1.60672025E+003	1.86586593E+005	-5.21804117E+001	3.38148357E+003	5.19165015E+004	8.31773081E+000	8.75746562E+002	8.04097577E+002	-1.28201739E+005	1.09056448E-003	7.91159679E-004	2.07352227E-003	2.44763370E-003	-1.62617552E+000	1.60948469E-001	-6.10627419E-001	-1.24499176E+000	1.78243746E+000	-9.53715154E+001	1.60782721E+003	-4.97669127E+001	-5.80846435E+001	1.12823464E+006	2.68436895E+001	1.92225679E+001
